1,3
2,5
3,10
4,14
5,17
6,22
7,26
8,29
9,35
10,38
11,41
12,47
13,49
14,55
15,58
16,62
17,66
18,72
19,74
20,78
21,81
22,88
23,90
24,93
25,99
26,101
27,108
28,109
29,116
30,118
31,124
32,128
33,131
34,133
35,138
36,142
37,148
38,150
39,154
40,160
41,163
42,166
43,170
44,174
45,177
46,181
47,188
48,192
49,196
50,199
51,202
52,208
53,211
54,215
55,220
56,221
57,228
58,232
59,235
60,237
61,242
62,247
63,251
64,254
65,260
66,261
67,267
68,270
69,273
70,280
71,281
72,288
73,291
74,296
75,299
76,302
77,307
78,311
79,313
80,319
81,322
82,328
83,331
84,333
85,340
86,342
87,346
88,352
89,355
90,360
91,361
